region,date,precipitation_mm
AMZ01,01/03/2017,417.8033609
AMZ01,01/04/2017,270.400662
AMZ01,01/05/2017,280.7524735
AMZ01,01/06/2017,220.0339686
AMZ01,01/07/2017,165.597807
AMZ01,01/08/2017,57.97851105
AMZ01,01/09/2017,57.08347373
AMZ01,01/10/2017,42.53599119
AMZ01,01/11/2017,26.57567051
AMZ01,01/12/2017,142.2308991
AMZ01,01/01/2018,165.2777681
AMZ01,01/02/2018,277.9682066
AMZ01,01/03/2018,251.9041317
AMZ01,01/04/2018,436.2657384
AMZ01,01/05/2018,472.7018255
AMZ01,01/06/2018,216.8311103
AMZ01,01/07/2018,196.8683061
AMZ01,01/08/2018,69.50992856
AMZ01,01/09/2018,52.44476855
AMZ01,01/10/2018,23.44596572
AMZ01,01/11/2018,85.3096967
AMZ01,01/12/2018,279.7635867
AMZ01,01/01/2019,219.9705974
AMZ01,01/02/2019,211.1990391
AMZ01,01/03/2019,156.720671
AMZ01,01/04/2019,273.9403886
AMZ01,01/05/2019,356.1015565
AMZ01,01/06/2019,236.3518914
AMZ01,01/07/2019,146.1629901
AMZ01,01/08/2019,96.82564207
AMZ01,01/09/2019,35.73140267
AMZ01,01/10/2019,44.15006028
AMZ01,01/11/2019,63.42282961
AMZ01,01/12/2019,202.6039598
AMZ01,01/01/2020,158.0796665
AMZ01,01/02/2020,189.2257295
AMZ01,01/03/2020,232.8978366
AMZ01,01/04/2020,364.169453
AMZ01,01/05/2020,315.4036134
AMZ01,01/06/2020,272.8901953
AMZ01,01/07/2020,151.1059893
AMZ01,01/08/2020,148.7850617
AMZ01,01/09/2020,43.27462293
AMZ01,01/10/2020,23.72943295
AMZ01,01/11/2020,233.8339058
AMZ01,01/12/2020,126.9750521
AMZ01,01/01/2021,230.4382281
AMZ01,01/02/2021,296.4771214
AMZ01,01/03/2021,377.6318793
AMZ01,01/04/2021,316.7424259
AMZ01,01/05/2021,341.239008
AMZ01,01/06/2021,166.2936563
AMZ01,01/07/2021,237.1795144
AMZ01,01/08/2021,105.7039542
AMZ01,01/09/2021,71.25455278
AMZ01,01/10/2021,94.72248478
AMZ01,01/11/2021,188.6143184
AMZ01,01/12/2021,206.011588
AMZ02,01/01/1985,205.9924005
AMZ02,01/02/1985,172.8858704
AMZ02,01/03/1985,173.8065912
AMZ02,01/04/1985,175.5986926
AMZ02,01/05/1985,346.3588897
AMZ02,01/06/1985,222.0600756
AMZ02,01/07/1985,229.3820056
AMZ02,01/08/1985,142.8226158
AMZ02,01/09/1985,73.46854568
AMZ02,01/10/1985,72.7952624
AMZ02,01/11/1985,119.785951
AMZ02,01/12/1985,223.0635896
AMZ02,01/01/1986,222.2047372
AMZ02,01/02/1986,184.2674328
AMZ02,01/03/1986,254.6685378
AMZ02,01/04/1986,257.2975747
AMZ02,01/05/1986,269.8150367
AMZ02,01/06/1986,250.6491187
AMZ02,01/07/1986,190.5222415
AMZ02,01/08/1986,40.52953036
AMZ02,01/09/1986,113.0209733
AMZ02,01/10/1986,107.3660916
AMZ02,01/11/1986,110.1476863
AMZ02,01/12/1986,108.1044539
AMZ02,01/01/1987,153.9789615
AMZ02,01/02/1987,147.6874916
AMZ02,01/03/1987,233.8461277
AMZ02,01/04/1987,301.4662277
AMZ02,01/05/1987,241.3875925
AMZ02,01/06/1987,167.0327403
