region,date,TWSrec_mm
AMZ01,15/02/2011,157.6661184
AMZ01,15/03/2011,176.3075876
AMZ01,15/04/2011,224.8368183
AMZ01,15/05/2011,219.9392893
AMZ01,15/06/2011,209.8691297
AMZ01,15/07/2011,188.3706639
AMZ01,15/08/2011,156.2742497
AMZ01,15/09/2011,135.9699798
AMZ01,15/10/2011,134.9220723
AMZ01,15/11/2011,163.4192479
AMZ01,15/12/2011,115.467966
AMZ01,15/01/2012,81.48564451
AMZ01,15/02/2012,96.51785077
AMZ01,15/03/2012,126.1949335
AMZ01,15/04/2012,106.9468463
AMZ01,15/05/2012,39.9368154
AMZ01,15/06/2012,-34.59676994
AMZ01,15/07/2012,-32.07689388
AMZ01,15/08/2012,-13.59998547
AMZ01,15/09/2012,-14.60853006
AMZ01,15/10/2012,-16.09226078
AMZ01,15/11/2012,-25.97882114
AMZ01,15/12/2012,-19.64064171
AMZ01,15/01/2013,-23.92893952
AMZ01,15/02/2013,-8.791564776
AMZ01,15/03/2013,4.403725256
AMZ01,15/04/2013,-27.90183606
AMZ01,15/05/2013,-14.05192652
AMZ01,15/06/2013,-33.16996399
AMZ01,15/07/2013,-13.32760925
AMZ01,15/08/2013,22.66178273
AMZ01,15/09/2013,48.07095172
AMZ01,15/10/2013,48.24130263
AMZ01,15/11/2013,61.19116926
AMZ01,15/12/2013,69.641965
AMZ01,15/01/2014,61.34895436
AMZ01,15/02/2014,76.55926366
AMZ01,15/03/2014,81.89172755
AMZ01,15/04/2014,43.29123797
AMZ01,15/05/2014,61.75740316
AMZ01,15/06/2014,79.97881441
AMZ01,15/07/2014,96.4664479
AMZ01,15/08/2014,79.36934491
AMZ01,15/09/2014,58.76746411
AMZ01,15/10/2014,38.43645247
AMZ01,15/11/2014,23.33427039
AMZ01,15/12/2014,0.590450793
AMZ01,15/01/2015,-47.56295856
AMZ01,15/02/2015,-63.42177388
AMZ01,15/03/2015,-41.77381569
AMZ01,15/04/2015,-34.37978504
AMZ01,15/05/2015,-35.24519044
AMZ01,15/06/2015,-28.20489727
AMZ01,15/07/2015,-41.82238932
AMZ01,15/08/2015,-39.50670582
AMZ01,15/09/2015,-54.26922729
AMZ01,15/10/2015,-68.59865499
AMZ01,15/11/2015,-83.84907486
AMZ01,15/12/2015,-109.2416058
AMZ01,15/01/2016,-167.6681142
AMZ01,15/02/2016,-192.9987777
AMZ01,15/03/2016,-177.2005079
AMZ01,15/04/2016,-132.2731541
AMZ01,15/05/2016,-135.2036293
AMZ01,15/06/2016,-168.1658875
AMZ01,15/07/2016,-156.3113217
AMZ01,15/08/2016,-147.3186382
AMZ01,15/09/2016,-106.6738696
AMZ01,15/10/2016,-81.66076498
AMZ01,15/11/2016,-61.21328205
AMZ01,15/12/2016,-36.39171029
AMZ01,15/01/2017,41.7179209
AMZ01,15/02/2017,86.48173728
AMZ01,15/03/2017,141.3221139
AMZ01,15/04/2017,157.7512746
AMZ01,15/05/2017,133.3624331
AMZ01,15/06/2017,80.45131435
AMZ01,15/07/2017,86.41609559
AMZ01,15/08/2017,55.46171895
AMZ01,15/09/2017,28.01679864
AMZ01,15/10/2017,23.7947334
AMZ01,15/11/2017,7.09950999
AMZ01,15/12/2017,-3.605689733
AMZ01,15/01/2018,13.8609356
AMZ01,15/02/2018,20.65589829
AMZ01,15/03/2018,0.24128331
AMZ01,15/04/2018,47.41715175
AMZ01,15/05/2018,93.70505723
AMZ01,15/06/2018,116.481265
AMZ01,15/07/2018,132.1514486
AMZ01,15/08/2018,125.011611
AMZ01,15/09/2018,119.4721428
AMZ01,15/10/2018,91.6224852
AMZ01,15/11/2018,68.78223706
AMZ01,15/12/2018,156.1576724
AMZ02,15/01/1985,124.5890302
AMZ02,15/02/1985,74.17719693
AMZ02,15/03/1985,18.19887452
AMZ02,15/04/1985,-87.97037934
AMZ02,15/05/1985,-94.69215567
AMZ02,15/06/1985,-42.8229298
AMZ02,15/07/1985,-12.19904962
AMZ02,15/08/1985,36.06360684
AMZ02,15/09/1985,66.16342424
AMZ02,15/10/1985,58.69162526
AMZ02,15/11/1985,84.29240639
AMZ02,15/12/1985,146.5743121
AMZ02,15/01/1986,145.1103233
AMZ02,15/02/1986,144.9998991
AMZ02,15/03/1986,154.3162726
AMZ02,15/04/1986,104.4272898
AMZ02,15/05/1986,55.32223035
AMZ02,15/06/1986,90.16145638
AMZ02,15/07/1986,121.5680207
AMZ02,15/08/1986,87.98624042
AMZ02,15/09/1986,86.84477917
AMZ02,15/10/1986,113.9602761
AMZ02,15/11/1986,151.5967726
AMZ02,15/12/1986,156.6574003
AMZ02,15/01/1987,139.3915341
AMZ02,15/02/1987,104.7145102
AMZ02,15/03/1987,66.95170587
AMZ02,15/04/1987,19.42894816
AMZ02,15/05/1987,11.79204463
AMZ02,15/06/1987,-59.16017786
AMZ02,15/07/1987,-82.10643641
AMZ02,15/08/1987,-85.4078485
AMZ02,15/09/1987,-69.55782631
AMZ02,15/10/1987,-51.96885441
AMZ02,15/11/1987,-72.69428103
AMZ02,15/12/1987,-113.7219354
AMZ02,15/01/1988,-105.7013616
AMZ02,15/02/1988,-32.19488839
AMZ02,15/03/1988,-101.2236962
AMZ02,15/04/1988,-150.8069569
AMZ02,15/05/1988,-143.8661104
AMZ02,15/06/1988,-80.23996297
AMZ02,15/07/1988,-17.91691542
AMZ02,15/08/1988,-4.541787126
AMZ02,15/09/1988,18.72599779
AMZ02,15/10/1988,40.06089042
AMZ02,15/11/1988,56.69001784
AMZ02,15/12/1988,112.2321745
AMZ02,15/01/1989,149.7332954
AMZ02,15/02/1989,195.2955883
AMZ02,15/03/1989,228.4754597
AMZ02,15/04/1989,227.1342656
AMZ02,15/05/1989,236.4114802
AMZ02,15/06/1989,287.8282014
AMZ02,15/07/1989,296.0403147
AMZ02,15/08/1989,269.6779138
AMZ02,15/09/1989,213.1296036
AMZ02,15/10/1989,229.7989074
AMZ02,15/11/1989,240.3002124
AMZ02,15/12/1989,194.1394421
AMZ02,15/01/1990,159.0959809
AMZ02,15/02/1990,148.0816235
AMZ02,15/03/1990,144.1253755
AMZ02,15/04/1990,144.8376669
AMZ02,15/05/1990,104.5554013
AMZ02,15/06/1990,48.84571016
AMZ02,15/07/1990,38.4260409
AMZ02,15/08/1990,48.37888615
AMZ02,15/09/1990,24.7421323
AMZ02,15/10/1990,-9.922225677
AMZ02,15/11/1990,-44.92315915
AMZ02,15/12/1990,-28.02705961
AMZ02,15/01/1991,-6.680369014
AMZ02,15/02/1991,-38.8532921
AMZ02,15/03/1991,-69.1734106
AMZ02,15/04/1991,-90.31984853
AMZ02,15/05/1991,-82.88102707
AMZ02,15/06/1991,-51.97932414
AMZ02,15/07/1991,-47.09234655
AMZ02,15/08/1991,-33.41591699
AMZ02,15/09/1991,-45.53921722
AMZ02,15/10/1991,-78.97371162
AMZ02,15/11/1991,-100.8664681
AMZ02,15/12/1991,-163.3134885
AMZ02,15/01/1992,-224.5459303
AMZ02,15/02/1992,-288.4600676
AMZ02,15/03/1992,-244.9345572
AMZ02,15/04/1992,-250.7241425
AMZ02,15/05/1992,-358.8014073
AMZ02,15/06/1992,-451.3994331
AMZ02,15/07/1992,-480.5077315
AMZ02,15/08/1992,-431.1167397
AMZ02,15/09/1992,-401.6219331
AMZ02,15/10/1992,-391.6460943
AMZ02,15/11/1992,-369.2855282
AMZ02,15/12/1992,-333.7344094
AMZ02,15/01/1993,-310.8207416
AMZ02,15/02/1993,-312.3898922
AMZ02,15/03/1993,-254.830979
AMZ02,15/04/1993,-228.0896308
AMZ02,15/05/1993,-235.1055365
AMZ02,15/06/1993,-291.3233973
AMZ02,15/07/1993,-303.9200455
AMZ02,15/08/1993,-269.5253885
AMZ02,15/09/1993,-231.6640679
AMZ02,15/10/1993,-202.6788965
AMZ02,15/11/1993,-128.492097
AMZ02,15/12/1993,-96.13309282
AMZ02,15/01/1994,-92.66720916
AMZ02,15/02/1994,-67.36601346
AMZ02,15/03/1994,-85.00967252
AMZ02,15/04/1994,-104.7227837
AMZ02,15/05/1994,-95.91352225
AMZ02,15/06/1994,-95.17002347
AMZ02,15/07/1994,-85.83500644
AMZ02,15/08/1994,-89.17406638
AMZ02,15/09/1994,-71.92101459
AMZ02,15/10/1994,-49.49475914
AMZ02,15/11/1994,-62.62576149
AMZ02,15/12/1994,-39.59158035
AMZ02,15/01/1995,-101.7330968
AMZ02,15/02/1995,-174.0416398
AMZ02,15/03/1995,-178.3977031
AMZ02,15/04/1995,-188.9712629
AMZ02,15/05/1995,-175.7301792
AMZ02,15/06/1995,-104.1478128
AMZ02,15/07/1995,-87.27713537
AMZ02,15/08/1995,-110.7999419
AMZ02,15/09/1995,-130.9797439
AMZ02,15/10/1995,-142.4704009
AMZ02,15/11/1995,-111.2624479
AMZ02,15/12/1995,-61.51898985
AMZ02,15/01/1996,-16.9771468
AMZ02,15/02/1996,60.87311652
AMZ02,15/03/1996,76.00571149
AMZ02,15/04/1996,56.37908667
AMZ02,15/05/1996,57.11032845
AMZ02,15/06/1996,106.5800533
AMZ02,15/07/1996,118.0776024
AMZ02,15/08/1996,126.8640491
AMZ02,15/09/1996,108.9418047
AMZ02,15/10/1996,93.15768104
AMZ02,15/11/1996,59.60291529
AMZ02,15/12/1996,58.33125707
AMZ02,15/01/1997,59.86647271
AMZ02,15/02/1997,115.0557901
AMZ02,15/03/1997,123.0532726
AMZ02,15/04/1997,54.53362751
AMZ02,15/05/1997,11.97504243
AMZ02,15/06/1997,-71.76781206
AMZ02,15/07/1997,-138.4618995
AMZ02,15/08/1997,-145.1842587
AMZ02,15/09/1997,-156.8814495
AMZ02,15/10/1997,-198.6584973
AMZ02,15/11/1997,-221.7222936
AMZ02,15/12/1997,-237.6624465
AMZ02,15/01/1998,-272.3333225
AMZ02,15/02/1998,-320.7658783
AMZ02,15/03/1998,-370.0123502
AMZ02,15/04/1998,-365.3475992
AMZ02,15/05/1998,-358.1571497
AMZ02,15/06/1998,-360.7313618
AMZ02,15/07/1998,-340.8270129
AMZ02,15/08/1998,-322.0812498
AMZ02,15/09/1998,-294.5737733
AMZ02,15/10/1998,-256.6911415
AMZ02,15/11/1998,-215.199363
AMZ02,15/12/1998,-201.2233658
AMZ02,15/01/1999,-117.9312339
AMZ02,15/02/1999,-34.70007939
AMZ02,15/03/1999,-6.900771406
AMZ02,15/04/1999,57.02688694
AMZ02,15/05/1999,99.41593163
AMZ02,15/06/1999,175.2698133
AMZ02,15/07/1999,178.7366711
AMZ02,15/08/1999,201.2944324
AMZ02,15/09/1999,203.0443718
AMZ02,15/10/1999,244.82209
AMZ02,15/11/1999,206.0444301
